id,split,pdf_path,template,difficulty,pagesize,skill_mode,skill_years_stated,scanned,contact_in_header_only,pages,fallback
TRAIN00001,train,cvs_pdf/TRAIN00001.pdf,classic_ats,easy,letter,bars,False,False,False,1,
TRAIN00002,train,cvs_pdf/TRAIN00002.pdf,classic_ats,easy,letter,plain,False,False,True,1,
TRAIN00003,train,cvs_pdf/TRAIN00003.pdf,classic_ats,easy,letter,plain,False,False,False,1,
TRAIN00004,train,cvs_pdf/TRAIN00004.pdf,two_column_balanced,scanned,letter,plain,False,True,False,1,
TRAIN00005,train,cvs_pdf/TRAIN00005.pdf,left_sidebar_dark,hard,letter,bullets,False,False,False,1,
TRAIN00006,train,cvs_pdf/TRAIN00006.pdf,left_sidebar_dark,hard,A4,years,True,False,False,1,
TRAIN00007,train,cvs_pdf/TRAIN00007.pdf,minimal_centered,medium,A4,bars,False,False,False,1,
TRAIN00008,train,cvs_pdf/TRAIN00008.pdf,compact_boxed,medium,letter,years,True,False,False,1,
TRAIN00009,train,cvs_pdf/TRAIN00009.pdf,modern_banner,easy,letter,years,True,False,False,1,
TRAIN00010,train,cvs_pdf/TRAIN00010.pdf,table_grid,hard,letter,categorised,False,False,False,1,
TRAIN00011,train,cvs_pdf/TRAIN00011.pdf,compact_boxed,medium,letter,years,True,False,False,1,
TRAIN00012,train,cvs_pdf/TRAIN00012.pdf,table_grid,hard,letter,years,True,False,False,1,
TRAIN00013,train,cvs_pdf/TRAIN00013.pdf,minimal_centered,medium,A4,plain,False,False,False,1,
TRAIN00014,train,cvs_pdf/TRAIN00014.pdf,compact_boxed,medium,A4,years,True,False,False,1,
TRAIN00015,train,cvs_pdf/TRAIN00015.pdf,academic_dense,medium,A4,table,False,False,False,2,
TRAIN00016,train,cvs_pdf/TRAIN00016.pdf,two_column_balanced,hard,A4,levels,False,False,False,1,
TRAIN00017,train,cvs_pdf/TRAIN00017.pdf,classic_ats,easy,letter,years,True,False,False,1,
TRAIN00018,train,cvs_pdf/TRAIN00018.pdf,modern_banner,easy,letter,bars,False,False,False,1,
TRAIN00019,train,cvs_pdf/TRAIN00019.pdf,classic_ats,easy,A4,years,True,False,True,1,
TRAIN00020,train,cvs_pdf/TRAIN00020.pdf,two_column_balanced,scanned,A4,years,True,True,False,1,
TRAIN00021,train,cvs_pdf/TRAIN00021.pdf,compact_boxed,medium,A4,bars,False,False,False,2,
TRAIN00022,train,cvs_pdf/TRAIN00022.pdf,academic_dense,medium,A4,years,True,False,False,1,
TRAIN00023,train,cvs_pdf/TRAIN00023.pdf,minimal_centered,medium,A4,table,False,False,False,2,
TRAIN00024,train,cvs_pdf/TRAIN00024.pdf,academic_dense,medium,A4,categorised,False,False,False,1,
TRAIN00025,train,cvs_pdf/TRAIN00025.pdf,two_column_balanced,hard,letter,years,True,False,True,1,
TRAIN00026,train,cvs_pdf/TRAIN00026.pdf,minimal_centered,medium,letter,levels,False,False,False,2,
TRAIN00027,train,cvs_pdf/TRAIN00027.pdf,two_column_balanced,hard,A4,categorised,False,False,False,1,
TRAIN00028,train,cvs_pdf/TRAIN00028.pdf,compact_boxed,medium,A4,categorised,False,False,False,1,
TRAIN00029,train,cvs_pdf/TRAIN00029.pdf,left_sidebar_dark,scanned,letter,years,True,True,False,1,
TRAIN00030,train,cvs_pdf/TRAIN00030.pdf,table_grid,hard,letter,categorised,False,False,False,1,
TRAIN00031,train,cvs_pdf/TRAIN00031.pdf,europass_style,hard,letter,years,True,False,False,1,
TRAIN00032,train,cvs_pdf/TRAIN00032.pdf,compact_boxed,medium,A4,categorised,False,False,False,1,
TRAIN00033,train,cvs_pdf/TRAIN00033.pdf,compact_boxed,medium,letter,years,True,False,False,1,
TRAIN00034,train,cvs_pdf/TRAIN00034.pdf,classic_ats,easy,A4,bars,False,False,False,2,
TRAIN00035,train,cvs_pdf/TRAIN00035.pdf,left_sidebar_dark,hard,A4,bars,False,False,False,1,
TRAIN00036,train,cvs_pdf/TRAIN00036.pdf,classic_ats,easy,A4,levels,False,False,False,2,
TRAIN00037,train,cvs_pdf/TRAIN00037.pdf,two_column_balanced,hard,A4,none,False,False,False,1,
TRAIN00038,train,cvs_pdf/TRAIN00038.pdf,left_sidebar_dark,hard,A4,bullets,False,False,False,1,
