job_id,candidate_id,job_title,job_domain,required_years,candidate_domain,candidate_years,candidate_degree,education_score,relevant_experience_score,stack_experience_score,companies_score
JOBTR0001,TRAIN00732,Lead Data Analyst,Data Analysis,13,Data Analysis,29.1,Bachelor,47,90,54,45
JOBTR0001,TRAIN00181,Lead Data Analyst,Data Analysis,13,Data Analysis,29.2,Bachelor,59,97,65,61
JOBTR0001,TRAIN00712,Lead Data Analyst,Data Analysis,13,Data Analysis,2.0,High School,27,23,12,59
JOBTR0001,TRAIN00299,Lead Data Analyst,Data Analysis,13,Data Analysis,3.2,PhD,91,22,19,36
JOBTR0001,TRAIN00769,Lead Data Analyst,Data Analysis,13,Data Analysis,1.8,High School,23,15,32,39
JOBTR0001,TRAIN00342,Lead Data Analyst,Data Analysis,13,Data Analysis,8.4,Bachelor,55,56,47,32
JOBTR0001,TRAIN00169,Lead Data Analyst,Data Analysis,13,Data Analysis,17.9,Bachelor,48,86,47,59
JOBTR0001,TRAIN00185,Lead Data Analyst,Data Analysis,13,Data Analysis,1.9,Bachelor,64,20,0,37
JOBTR0001,TRAIN00722,Lead Data Analyst,Data Analysis,13,Data Analysis,5.7,Master,77,48,32,40
JOBTR0001,TRAIN00484,Lead Data Analyst,Data Analysis,13,Data Analysis,14.1,High School,21,93,25,35
JOBTR0001,TRAIN00373,Lead Data Analyst,Data Analysis,13,Data Analysis,14.6,Master,70,86,44,53
JOBTR0001,TRAIN00559,Lead Data Analyst,Data Analysis,13,Data Analysis,3.1,Bachelor,46,17,0,38
JOBTR0001,TRAIN00534,Lead Data Analyst,Data Analysis,13,Data Analysis,18.9,Master,91,93,47,58
JOBTR0001,TRAIN00614,Lead Data Analyst,Data Analysis,13,Data Analysis,7.1,High School,22,52,34,35
JOBTR0001,TRAIN00412,Lead Data Analyst,Data Analysis,13,Data Analysis,14.8,High School,21,88,54,36
JOBTR0001,TRAIN00360,Lead Data Analyst,Data Analysis,13,Data Analysis,24.5,Bachelor,46,97,63,49
JOBTR0001,TRAIN00042,Lead Data Analyst,Data Analysis,13,Data Analysis,1.0,Bachelor,60,12,5,38
JOBTR0001,TRAIN00800,Lead Data Analyst,Data Analysis,13,Data Analysis,29.8,Bachelor,57,100,43,52
